,2013-01-26,2013-02-26,2013-03-26,2013-04-26,2013-05-26,2013-06-26,2013-07-26,2013-08-26,2013-09-26,2013-10-26,2013-11-26,2013-12-26,2014-01-26,2014-02-26,2014-03-26,2014-04-26,2014-05-26,2014-06-26,2014-07-26,2014-08-26,2014-09-26,2014-10-26,2014-11-26,2014-12-26,2015-01-26,2015-02-26
曾鈺成,36.0,36.0,36.0,35.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,26.0,26.0,27.0,26.0
何俊仁,13.0,14.0,14.0,14.0,17.0,14.0,19.0,19.0,19.0,19.0,22.0,21.0,21.0,18.0,18.0,17.0,21.0,20.0,14.0,14.0,14.0,15.0,12.0,13.0,12.0,16.0
李卓人,15.0,13.0,13.0,12.0,16.0,12.0,10.0,10.0,10.0,8.0,8.0,11.0,9.0,10.0,10.0,8.0,8.0,11.0,12.0,12.0,12.0,16.0,14.0,12.0,15.0,13.0
涂謹申,23.0,20.0,20.0,20.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,20.0,20.0,17.0,16.0,16.0,17.0,19.0,13.0,13.0,13.0,12.0,13.0,18.0,18.0,20.0
陳鑑林,43.0,42.0,42.0,43.0,63.0,63.0,62.0,62.0,62.0,61.0,63.0,64.0,65.0,66.0,66.0,67.0,67.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
梁耀忠,22.0,19.0,19.0,19.0,22.0,23.0,24.0,24.0,24.0,24.0,25.0,24.0,18.0,20.0,20.0,22.0,22.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0
劉皇發,42.0,38.0,38.0,38.0,41.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0,40.0,40.0,40.0,36.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
劉慧卿,4.0,5.0,5.0,5.0,7.0,7.0,14.0,14.0,14.0,15.0,14.0,14.0,19.0,21.0,22.0,18.0,19.0,22.0,15.0,15.0,15.0,13.0,16.0,17.0,11.0,10.0
譚耀宗,47.0,54.0,54.0,54.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,68.0,69.0,69.0,69.0,68.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
石禮謙,63.0,62.0,62.0,63.0,39.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,36.0,35.0,35.0,35.0,34.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
張宇人,53.0,53.0,53.0,51.0,44.0,42.0,42.0,42.0,42.0,41.0,41.0,41.0,41.0,39.0,39.0,39.0,30.0,44.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,45.0
馮檢基,14.0,15.0,15.0,16.0,19.0,19.0,17.0,17.0,17.0,20.0,15.0,17.0,17.0,16.0,17.0,20.0,20.0,23.0,23.0,23.0,23.0,22.0,22.0,22.0,21.0,23.0
方剛,56.0,49.0,45.0,45.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,37.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
王國興,28.0,28.0,28.0,28.0,50.0,50.0,49.0,49.0,49.0,51.0,53.0,51.0,54.0,54.0,54.0,56.0,51.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0,63.0
李國麟,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,26.0,25.0,26.0,25.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0
林健鋒,61.0,63.0,63.0,66.0,40.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,44.0,44.0,42.0,39.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
